Datetime,Open,High,Low,Close,Volume
2019-12-30,294.5917411961738,305.6666787418596,294.5917411961738,300.7937316894531,73565388
2020-01-06,295.03482469305936,302.1227172492003,287.94685097493243,300.7937316894531,192303605
2020-01-13,303.0087606449602,306.55267333984375,292.3768430974986,295.0348205566406,215593116
2020-01-20,295.9208110087627,297.24979668694573,295.0348205566406,295.0348205566406,32658203
2020-01-27,288.83289461301587,288.83289461301587,280.4159851074219,283.51690673828125,187977104
2020-02-03,279.0870056152344,298.5787216421274,276.42903413318453,290.6048583984375,206118219
2020-02-10,284.8459825821505,299.46473370452424,284.4029872748688,296.8067626953125,135460702
2020-02-17,293.70574951171875,295.034734803627,285.2888617289194,287.94683837890625,166369171
2020-02-24,283.07391157150266,286.61792617703077,279.08700146252596,279.9729919433594,199618980
2020-03-02,272.8850886599427,288.8328674127443,272.8850886599427,279.0870056152344,261941784
2020-03-09,272.4420553104382,275.10010407302553,241.43242145406788,256.937255859375,485560616
2020-03-16,252.50731456128858,257.8232580257368,210.67646866459998,241.5399169921875,661110945
2020-03-23,229.91020190669042,255.85337756928942,225.4372407801011,244.2236785888672,359464780
2020-03-30,235.72505210805164,247.35473576610698,234.8304598799376,242.88177490234375,142512913
2020-04-06,244.22369384765625,257.6425160114841,241.5399169921875,250.03846740722656,197966214
2020-04-13,249.14385986328125,275.98165853727505,249.14385986328125,274.1924743652344,290406199
2020-04-20,275.5343619898746,276.42895407425726,259.879028683617,263.0101013183594,210536174
2020-04-27,266.5885314941406,272.85058583727806,263.4574279785156,272.4032897949219,175073957
2020-05-04,263.45736704680877,268.37771632090335,261.66821325147475,266.1412353515625,189286836
2020-05-11,268.377685546875,269.7195739746094,261.6682434082031,266.5885314941406,183783977
2020-05-18,260.32635498046875,266.58853154543067,259.4317626953125,261.2209167480469,240104664
2020-05-25,259.8790284770809,267.0357661344567,258.0898441157929,261.2209167480469,192254412
2020-06-01,263.0101318359375,279.112762402187,262.5628356933594,278.66546630859375,215312851
2020-06-08,282.69122276066236,292.53167724609375,279.5601494704621,282.69122314453125,222801435
2020-06-15,282.691162109375,284.0509110831305,275.9817199707031,283.60003662109375,199338342
2020-06-22,283.6000449840839,288.5596702755905,281.3456726074219,286.3052978515625,132821724
2020-06-29,283.1491705087515,298.0280919169077,279.5421747060923,297.1263427734375,222973259
2020-07-06,299.8314885698127,318.3173919196108,299.3806141509107,314.259521484375,243447245
2020-07-13,316.5139222138355,333.6471120450779,316.06304768076734,330.9419250488281,317220032
2020-07-20,333.64715742934595,356.1909069792594,326.88403937334573,348.0751647949219,282640052
2020-07-27,379.1854539563434,420.6659285972858,375.5784579615149,383.69415283203125,470496333
2020-08-03,379.1854646022503,394.96608086947737,374.22584497011627,390.45733642578125,242495937
2020-08-10,385.4977981094378,394.51529046287493,377.83282470703125,385.04681396484375,190528577
2020-08-17,385.0468413955864,397.22045426225554,361.60131475609467,382.7924499511719,223974393
2020-08-24,385.49773385591595,408.94320307551203,383.2433611433083,392.2608337402344,233511567
2020-08-31,394.06431173523595,397.67132878468715,384.595947265625,386.8503723144531,234853050
2020-09-07,385.9485479363813,393.6134033203125,381.43981804948226,393.6134033203125,165682734
2020-09-14,393.1625503228635,416.60800277510066,392.7116758385483,402.5740661621094,236921948
2020-09-21,402.12074054371226,408.01428014581853,381.7199080845095,384.44000244140625,239887172
2020-09-28,387.1601834788936,394.413749889542,384.893437673982,392.60028076171875,93721679
2020-10-05,397.1337818652908,411.64104281461266,391.24024400655935,410.7343444824219,172501277
2020-10-12,415.2678411069124,421.61465632451046,406.65419478724425,407.1075439453125,245931031
2020-10-19,410.73428074570955,415.26779566401933,407.5608586573339,409.8276062011719,129951397
2020-10-26,412.5476816813151,412.5476816813151,391.693603515625,391.693603515625,148841978
2020-11-02,392.60041096070876,413.0010087661322,388.0669189172826,410.2809143066406,166358976
2020-11-09,415.26775078061104,420.25460115790884,406.6541528807511,418.8945617675781,181970259
2020-11-16,426.1481740652037,458.78930978352696,425.2414758225118,442.46868896484375,281298038
2020-11-23,448.36226276808753,453.34907469710686,441.1086817080258,443.37542724609375,176836086
2020-11-30,447.00221511253335,457.8825797048762,435.6684875488281,456.0691833496094,294358550
2020-12-07,464.22945038910507,476.0165614936188,457.88258219874183,467.85626220703125,216575006
2020-12-14,464.22954601377955,469.24082358052414,456.97589111328125,464.6850280761719,200265242
2020-12-21,466.50732800387595,471.0630636289138,461.04051451317684,465.5962829589844,102632311
2020-12-28,466.50737257281554,482.90802001953125,463.7739309366467,482.90802001953125,115257709
2021-01-04,482.9080553197149,528.46533203125,481.08576077133864,528.46533203125,236943085
2021-01-11,525.7318340980844,569.467020907537,522.9983930195848,547.5994873046875,329004786
2021-01-18,553.9774312705931,618.6690323760216,541.221371997915,591.33447265625,392664304
2021-01-25,584.9566129711567,588.6012024600735,538.4879760742188,538.4879760742188,440381576
2021-02-01,542.1325229076629,584.9565330868676,534.8433461290724,575.8451538085938,294269729
2021-02-15,604.090576171875,608.6463120404412,589.5122570201663,594.0679931640625,211002885
2021-02-22,601.357138296274,603.1794326547475,552.1552734375,552.1552734375,307850285
2021-03-01,565.8223765706781,566.733642578125,532.1099843360025,547.5994873046875,249924927
2021-03-08,553.9773757577341,563.0889244452362,533.0211566315979,559.4443359375,239719826
2021-03-15,559.4443177568152,559.9056368189931,540.6931762695312,540.6931762695312,204165544
2021-03-22,537.9484356885013,551.6716493548769,521.480661939538,539.7781982421875,275380241
2021-03-29,548.0120849609375,550.7568359375,537.03369140625,550.7568359375,152865899
2021-04-05,561.7353805792136,565.3948944592084,551.6715909326251,558.0758666992188,75883596
2021-04-12,559.9055522824123,566.3097534179688,548.9270976945465,558.0758666992188,160693988
2021-04-19,553.5013262747137,555.3310827252086,539.7782943573505,550.7568359375,159084524
2021-04-26,553.5014743492252,558.9907451692175,548.9270629882812,548.9270629882812,113057532
2021-05-03,544.3526349748884,548.9269632329925,530.6295417642675,548.0120849609375,170092133
2021-05-10,545.2676759470501,546.182554597968,473.9069595336914,509.5873107910156,315824107
2021-05-17,497.693857439663,527.8849169879268,494.94922219642956,524.2254028320312,185955069
2021-05-24,521.4807580222546,541.6079548463983,517.8212439308704,539.7781982421875,158630226
2021-05-31,544.3527380146173,548.9270920721476,539.778208500197,544.3526000976562,107181899
2021-06-07,543.4377278508366,551.6717144025125,533.3740662239693,550.7568359375,103252894
2021-06-14,555.331132058831,558.5540040682007,549.3674604459958,553.9606323242188,107393547
2021-06-21,542.0179405670427,549.3674129710478,530.9940185546875,542.9365844726562,141861908
2021-06-28,542.0178833007812,550.2860875746783,538.3431857868776,540.1807861328125,105145283
2021-07-05,540.1805612012215,548.4486310155258,532.8312829422624,536.5059814453125,108969927
2021-07-12,546.6112133624381,564.9847486785342,540.1806296589824,541.0993041992188,202247116
2021-07-19,535.5872536361012,545.6926077440911,530.9938809634074,537.4246215820312,123157029
2021-07-26,542.9365956273572,542.9365956273572,526.4004896094763,532.8311767578125,117787653
2021-08-02,535.58716265145,549.3673783884752,532.8311395160222,542.9365844726562,95346919
2021-08-09,542.0180161420036,547.5299565917143,531.9125897773572,533.7499389648438,92520553
2021-08-16,534.6686321937875,538.3433306968376,506.1897542649421,507.1084289550781,147514877
2021-08-23,514.457800767447,553.9606970584754,513.5391261232194,550.2861328125,156962275
2021-08-30,553.0420113555656,569.5783081054688,549.3672507220837,569.5783081054688,195064041
2021-09-06,572.334258211018,586.1143767875272,560.3914749564569,571.4156494140625,154973044
2021-09-13,568.6595001468813,569.5781746220782,552.7904014078777,553.7132568359375,116258913
2021-09-20,540.7933959960938,551.8674926757812,538.0248291223936,551.8674926757812,79075562
2021-09-27,553.7132491305025,555.5589599609375,526.9505494014727,529.7191162109375,152651445
2021-10-04,529.7190630719379,538.0246887737771,516.7990859238417,530.641845703125,133502806
2021-10-11,526.0275687839674,553.7132568359375,520.4904364809782,553.7132568359375,112504424
2021-10-18,557.4046556375794,557.4046556375794,544.4846801757812,553.7132568359375,83081864
2021-10-25,550.9446563463388,553.7133218450022,543.5618247856528,544.4846801757812,94080238
2021-11-01,545.4075355659097,553.7132568359375,539.8704754961004,553.7132568359375,92708736
2021-11-08,553.7132491305025,569.4018178087599,551.8675383000675,557.40478515625,109603864
2021-11-15,562.0189247131348,574.9389845962278,560.1732139587402,570.32470703125,111771411
2021-11-22,570.3247802734376,570.3247802734376,546.3304287699245,550.0218505859375,98612169
2021-11-29,548.1760902340457,567.5562133789062,545.4075241217525,561.0960693359375,174976233
2021-12-06,556.4818231201172,566.6332249435476,550.9446639386198,558.3275756835938,84533957
2021-12-13,562.0189517714616,562.9418071930896,550.0218351236979,562.75244140625,108033176
2021-12-20,562.752572968652,564.6067760543318,551.6272969461565,559.9712524414062,75928461
2021-12-27,559.9713517494328,574.8050189754827,559.9713517494328,570.1694946289062,94352632
2022-01-03,573.8780351206542,620.2330309119591,572.950930055839,587.7844848632812,309577752
2022-01-10,582.2217260096714,623.941692443121,581.2946213504204,623.0145874023438,243684606
2022-01-17,635.0667338559778,637.8480480188506,590.5657507647962,594.274169921875,239641167
2022-01-24,592.419947298526,607.2536236002105,588.7115670450079,589.638671875,129410427
2022-02-07,597.0554291492372,602.6180419921875,582.2218627929688,602.6180419921875,187913888
2022-02-14,593.3470491562009,598.90966796875,586.8573608398438,590.5657348632812,113927854
2022-02-21,586.8572804897647,589.6385946153085,556.2628335510658,559.9712524414062,252512826
2022-02-28,555.3357288284807,565.5338807769169,548.8460051207983,551.6273193359375,197123859
2022-03-07,537.7208095126682,546.0648423151019,520.1058123031264,533.085205078125,302255454
2022-03-14,532.1581647112653,543.1791331497665,517.0915074502268,541.3155517578125,258652465
2022-03-21,543.1790317366148,557.1544189453125,537.5888375597998,557.1544189453125,113732430
2022-03-28,541.3155070265678,560.8813220971393,540.3838108010488,548.7692260742188,134946657
2022-04-04,538.5205688476562,540.3839618194474,527.3400932729139,528.2717895507812,108575203
2022-04-11,524.5450787287887,538.5205427505999,514.2963525302962,523.6134033203125,150667421
2022-04-18,520.8182479668003,531.9986254666759,518.9549002698673,519.8865966796875,107689467
2022-04-25,512.4330287005828,514.2964215322212,487.2771428282427,501.25286865234375,217202025
2022-05-02,501.2525866952095,506.8429157777906,490.07227625991356,491.9356689453125,95729171
2022-05-09,487.27717514038085,490.0723619223098,470.50666072653985,476.0968933105469,154154075
2022-05-16,485.41378250122074,504.04795899798876,482.61869354248046,493.79913330078125,127899212
2022-05-23,496.5941506588098,497.5258470015092,477.960301796286,493.79913330078125,113227000
2022-05-30,501.2526717107518,521.7498779296875,500.3209752949326,503.1160888671875,157458372
2022-06-06,504.04778532805267,507.77453085955455,492.86743682285527,493.79913330078125,93643788
2022-06-13,482.61873336910276,483.5504297655682,467.4419757896317,469.31549072265625,175314755
2022-06-20,468.37876407975654,473.06256103515625,454.32736712061904,455.7325134277344,169929191
2022-06-27,464.63173896690074,473.9993143492979,423.8828224594301,424.819580078125,191773378
2022-07-04,414.98355116410687,440.74441057813755,405.61600600443614,437.46575927734375,229129023
2022-07-11,438.402620389864,462.75819407816465,421.0724182128906,461.3530578613281,172796995
2022-07-18,464.163330078125,473.06254089234125,455.73255845825446,471.18902587890625,141993085
2022-07-25,468.37874862166854,477.7463278180255,459.94791642006,476.8095703125,113325604
