Datetime,Open,High,Low,Close,Volume
2020-01-02,5.941884393688347,5.9707536697387695,5.891363041927383,5.9707536697387695,237536000
2020-01-03,5.851045561653233,5.918988548422026,5.826157991152776,5.875186443328857,205384000
2020-01-06,5.781858699107725,5.905051443474641,5.7557269623863725,5.899825096130371,262636000
2020-01-07,5.928197495492935,6.017045883969803,5.88315121870379,5.971252918243408,314856000
2020-01-08,5.967021611212417,6.023765219861093,5.926952946804154,5.982451915740967,277108000
2020-01-09,6.068811004490261,6.120576999500233,5.994397505336159,6.048154354095459,255112000
2020-01-10,6.155419203881554,6.185781859126946,6.066322091859231,6.080507755279541,316296000
2020-01-13,6.16363259678268,6.296282606868379,6.140984617283319,6.271146297454834,319840000
2020-01-14,6.22833908695966,6.253724606953968,6.140984093935381,6.1541748046875,359088000
2020-01-15,6.166867313650455,6.189266079309119,6.085734091320788,6.111617088317871,263104000
2020-01-16,6.165126099200316,6.201213057446798,6.141731903266754,6.195240020751953,284192000
2020-01-17,6.214403577975669,6.22186999285586,6.156415799010118,6.203950881958008,253792000
2020-01-21,6.167364444571707,6.20419808146063,6.136503842710471,6.170599937438965,217916000
2020-01-22,6.215896411562279,6.311215307199664,6.196981875274955,6.224606990814209,239240000
2020-01-23,6.264676098533878,6.301509269273523,6.175827715920401,6.2930474281311035,244516000
2020-01-24,6.4085256847471355,6.458300831398263,6.179560864595715,6.233815670013428,373512000
2020-01-27,5.929192787115326,6.028991819907899,5.779619081655654,5.977972507476807,470536000
2020-01-28,6.043923016293822,6.20370064856638,5.990663647306005,6.171347141265869,310976000
2020-01-29,6.1569130145371735,6.19299997011159,6.071050915088323,6.110871315002441,258848000
2020-01-30,6.013063944753105,6.1310308331058625,5.958062920851865,6.117591381072998,290504000
2020-01-31,6.071797721586541,6.083743794323115,5.842335433644446,5.884146213531494,370420000
2020-02-03,5.86597757728614,6.0006189034883555,5.859755803690975,5.981206893920898,255564000
2020-02-04,6.123065271647515,6.169604915500799,6.073041396690385,6.1504411697387695,271544000
2020-02-05,6.271393648856628,6.281597603074191,6.157408986475809,6.240782260894775,208220000
2020-02-06,6.275127851182207,6.327640056610107,6.193994633007796,6.327640056610107,218284000
2020-02-07,6.287572492182964,6.309722522519821,6.2360552299053404,6.261440753936768,189752000
2020-02-10,6.284088443035795,6.5454067824737585,6.279110833313493,6.544660568237305,529608000
2020-02-11,6.652920962882322,6.78183801655105,6.590951003561365,6.667106628417969,638556000
2020-02-12,6.7198677162340585,6.789304086608207,6.681043216849115,6.782833099365234,374644000
2020-02-13,6.724845649351327,6.806227621791376,6.6974692706660415,6.7390313148498535,528016000
2020-02-14,7.149177081897548,7.341059519682939,7.11781899548029,7.212142467498779,1041924000
2020-02-18,7.108858240876231,7.399295506798921,7.089446230395402,7.380878448486328,620164000
2020-02-19,7.503325127505003,7.849758840322369,7.503325127505003,7.832088470458984,694332000
2020-02-20,7.784055495050813,7.872405915479174,7.375403114951804,7.682763576507568,810052000
2020-02-21,7.5705212914852815,7.595657599846096,7.233793590100202,7.318659782409668,768180000
2020-02-24,6.724347196251177,7.015033220439057,6.669843655720504,6.8012495040893555,856916000
2020-02-25,6.876408676352782,6.938378621692745,6.4199725063465785,6.521762371063232,1055496000
2020-02-26,6.522010883834573,6.855254315100791,6.520517981060398,6.661131858825684,747732000
2020-02-27,6.347611445500659,6.6489302455680726,6.197948305148538,6.2903361320495605,906416000
2020-02-28,6.037827618697656,6.78489858460974,6.021143174384864,6.725381851196289,1133252000
2020-03-02,6.895462873247763,6.912645560591214,6.499515353956709,6.883758544921875,890744000
2020-03-03,6.939540911663828,6.999306519580371,6.535873577697565,6.621288776397705,652792000
2020-03-04,6.728617311720658,7.094432920137592,6.6539099520015865,7.084969997406006,597408000
