Datetime,Open,High,Low,Close,Volume
2020-01-02,294.5917411961738,300.3506774902344,294.5917411961738,300.3506774902344,31754120
2020-01-03,304.78068836869477,305.6666787418596,297.24977019679386,300.7937316894531,41811268
2020-01-06,295.03482469305936,296.3638103898749,294.1488342285156,294.1488342285156,45343057
2020-01-07,294.59177830512317,295.03477346046924,289.2758364409706,291.9338073730469,50879181
2020-01-08,287.94685097493243,295.03477346046924,287.94685097493243,291.9338073730469,37567748
2020-01-09,296.80684362340855,299.0218200683594,295.4778577564381,299.0218200683594,31481504
2020-01-10,301.67972206261794,302.1227172492003,297.6927653833763,300.7937316894531,27032115
2020-01-13,303.0087606449602,303.0087606449602,300.3507890603553,302.5657653808594,30663332
2020-01-14,306.1096781471561,306.55267333984375,305.22368776178087,306.55267333984375,30223993
2020-01-15,305.6666766895967,305.6666766895967,299.02174893547505,301.2367248535156,47434274
2020-01-16,292.3768430974986,298.1357809160857,292.3768430974986,296.3638000488281,55211420
2020-01-17,295.9208110087627,297.24979668694573,294.1488301045186,295.0348205566406,52060097
2020-01-20,295.9208110087627,297.24979668694573,295.0348205566406,295.0348205566406,32658203
2020-01-30,288.83289461301587,288.83289461301587,280.4159851074219,280.4159851074219,125451049
2020-01-31,286.1748777389526,286.6178729057312,282.63091640472413,283.51690673828125,62526055
2020-02-03,279.0870056152344,280.4159913562593,276.42903413318453,279.0870056152344,59560849
2020-02-04,298.13572650615987,298.5787216421274,287.94683837890625,287.94683837890625,51890496
2020-02-05,291.4909121913764,291.93390749865813,287.5039544258409,290.16192626953125,36601453
2020-02-06,291.9338560176075,294.5918273925781,291.49086078844573,294.5918273925781,29267094
2020-02-07,292.37683924233045,292.81983445330366,288.8328775545446,290.6048583984375,28798327
2020-02-10,284.8459825821505,290.60492157681296,284.4029872748688,290.16192626953125,30632424
2020-02-11,292.81975931711327,294.59173970632423,292.3767642198105,293.70574951171875,27524935
2020-02-12,295.4777771907066,297.6927530317164,295.03478202250466,296.8067626953125,37612639
2020-02-13,299.46473370452424,299.46473370452424,296.8067626953125,296.8067626953125,22757021
2020-02-14,298.57874336812034,298.57874336812034,296.36376752711055,296.8067626953125,16933683
2020-02-17,293.70574951171875,295.034734803627,292.81975931711327,293.70574951171875,15937079
