Score,S_Idx,L_Idx,R_Idx,V_Idx,S_Price,L_Price,R_Price,V_Price,S_Date,L_Date,R_Date,AI_Score,Structure_Label
2.238132045088567,286,297,305,303,268.5,310.5,297.5,266.5,2025-07-21,2025-10-06,2025-12-01,8,S1;L1;R1
2.1711531841652327,286,288,297,292,268.5,290.5,310.5,252.5,2025-07-21,2025-08-04,2025-10-06,8,S2;L2;R2
1.9981320450885667,286,297,306,303,268.5,310.5,297.5,266.5,2025-07-21,2025-10-06,2025-12-08,7,S3;L3;R3
1.933109243697479,303,305,311,307,270.0,297.5,289.5,260.0,2025-11-17,2025-12-01,2026-01-12,6,S4;L4;R4
