Datetime,Open,High,Low,Close,Volume,Manual_Support,vol_ma5,min10,shadow_low,shadow_recover,range_pct,max5,is_high_altitude,is_local_top,AI_Support,Support_Level_ID,Segment_ID,Segment_Center,Segment_Start,Segment_End
2019-12-30,294.5917411961738,305.6666787418596,294.5917411961738,300.7937316894531,73565388,0,,294.5917411961738,0.0,0.5600022995285682,0.03759418882782997,,False,False,0,,,,,
2020-01-06,295.03482469305936,302.1227172492003,287.94685097493243,300.7937316894531,192303605,0,,287.94685097493243,0.5000028626464301,0.9062501342111396,0.049230843213676115,,False,False,0,,,,,
2020-01-13,303.0087606449602,306.5526733398437,292.3768430974986,295.0348205566406,215593116,0,,287.94685097493243,0.7500031648906639,0.1875006552360375,0.04848479138127034,,False,True,0,,,,,
2020-01-20,295.9208110087627,297.24979668694573,295.0348205566406,295.0348205566406,32658203,0,,287.94685097493243,0.3999999998194317,0.0,0.007507507507482041,,False,False,0,,,,,
2020-01-27,288.83289461301587,288.83289461301587,280.4159851074219,283.51690673828125,187977104,0,140419483.2,280.4159851074219,0.9999999998811915,0.368415702750522,0.030015797788202493,306.5526733398437,False,False,0,,,,,
2020-02-03,279.0870056152344,298.5787216421274,276.42903413318453,290.6048583984375,206118219,0,166930049.4,276.42903413318453,0.12000040546200473,0.6400010952249113,0.08012793438402326,306.5526733398437,False,False,1,6.0,1.0,276.13370808521773,2020-02-03,2020-03-02
2020-02-10,284.8459825821505,299.46473370452424,284.4029872748688,296.8067626953125,135460702,0,155561468.8,276.42903413318453,0.02941194829704936,0.8235283655551444,0.05295917097750334,306.5526733398437,False,False,1,7.0,1.0,284.4029872748688,2020-02-10,2020-02-10
2020-02-17,293.70574951171875,295.034734803627,285.2888617289194,287.94683837890625,166369171,0,145716679.8,276.42903413318453,0.8636360967781495,0.2727284286732683,0.03416142156974182,299.46473370452424,False,False,0,,,,,
2020-02-24,283.07391157150266,286.6179261770308,279.087001462526,279.9729919433594,199618980,0,179108835.2,276.42903413318453,0.5294051208304235,0.11764697089711483,0.026984147147709515,299.46473370452424,False,False,1,6.0,1.0,276.13370808521773,2020-02-03,2020-03-02
2020-03-02,272.8850886599427,288.8328674127443,272.8850886599427,279.0870056152344,261941784,0,193901771.2,272.8850886599427,0.0,0.3888890767194316,0.05844137116856742,299.46473370452424,False,False,1,6.0,1.0,276.13370808521773,2020-02-03,2020-03-02
2020-03-09,272.4420553104382,275.10010407302553,241.43242145406788,256.937255859375,485560616,0,249790250.6,241.43242145406788,0.9210504389746244,0.4605257385940816,0.13944971605739137,299.46473370452424,False,False,0,,,,,
2020-03-16,252.50731456128855,257.8232580257368,210.6764686646,241.5399169921875,661110945,0,354920299.2,210.6764686646,0.887246967664835,0.6546246042444981,0.22378763826714484,295.034734803627,False,False,1,1.0,1.0,210.6764686646,2020-03-16,2020-03-16
