Datetime,Open,High,Low,Close,Volume,Manual_Support,vol_ma5,min10,shadow_low,shadow_recover,range_pct,max5,is_high_altitude,is_local_top,AI_Support,Support_Level_ID,Segment_ID,Segment_Center,Segment_Start,Segment_End
2019-12-30,5.941884393688347,5.9707536697387695,5.826157991152776,5.875186443328857,442920000,0,,5.826157991152776,0.800344815743587,0.3390727324388921,0.024818358647456632,,False,False,0,,,,,
2020-01-06,5.781858699107725,6.185781859126946,5.7557269623863725,6.080507755279541,1426008000,0,,5.7557269623863725,0.06076372309359544,0.7552077527764592,0.07471773756404029,,False,False,1,3.0,1.0,5.7557269623863725,2020-01-06,2020-01-06
2020-01-13,6.16363259678268,6.296282606868379,6.085734091320788,6.203950881958008,1480016000,0,,5.7557269623863725,0.3699788853382128,0.5614705464357846,0.03459706131644326,,False,True,0,,,,,
2020-01-20,6.167364444571707,6.458300831398263,6.136503842710471,6.233815670013428,1075184000,0,,5.7557269623863725,0.09590084074800412,0.3024012977789794,0.052439792573032225,,False,True,1,4.0,1.0,6.136503842710471,2020-01-20,2020-01-20
2020-01-27,5.929192787115326,6.20370064856638,5.779619081655654,5.884146213531494,1701284000,0,1225082400.0,5.7557269623863725,0.3527003217719646,0.24647883752836033,0.07337534893664066,6.458300831398263,False,False,0,,,,,
2020-02-03,5.86597757728614,6.327640056610107,5.859755803690975,6.261440753936768,1143364000,0,1365171200.0,5.7557269623863725,0.013297676814403327,0.8585135038872637,0.07984705651805012,6.458300831398263,False,True,0,,,,,
2020-02-10,6.284088443035795,7.341059519682939,6.279110833313493,7.212142467498779,3112748000,0,1702519200.0,5.7557269623863725,0.004687241277761032,0.8786033122716125,0.16912405504394168,7.341059519682939,True,True,0,,,,,
2020-02-17,7.108858240876231,7.872405915479174,7.089446230395402,7.318659782409668,2892728000,0,1985061600.0,5.7557269623863725,0.02479311620490211,0.29275268712844243,0.11044017537173188,7.872405915479174,False,True,0,,,,,
2020-02-24,6.724347196251177,7.015033220439057,6.021143174384864,6.725381851196289,4699812000,0,2709987200.0,5.7557269623863725,0.7075269784123009,0.7085679939131391,0.16506666875442047,7.872405915479174,False,False,0,,,,,
2020-03-02,6.895462873247763,7.094432920137592,6.424810967870418,6.625026226043701,3196684000,0,3009067200.0,5.7557269623863725,0.7028621195601072,0.29899745251243054,0.10422438193304599,7.872405915479174,False,False,0,,,,,
2020-03-09,5.9740769221666445,6.501508712768555,5.373930181177816,5.997486591339111,3146148000,0,3409624000.0,5.373930181177816,0.532243851441481,0.5530048614251319,0.2098238148553282,7.872405915479174,False,False,1,2.0,1.0,5.373930181177816,2020-03-09,2020-03-09
2020-03-16,5.289511138473872,5.735512301243073,4.499359291947831,5.123661518096924,4005020000,0,3588078400.0,4.499359291947831,0.6392022993474908,0.5050363676257072,0.2747397860030323,7.872405915479174,False,False,0,,,,,
2020-03-23,5.122665029285088,6.5523092762191855,4.943617068293397,6.29357385635376,3873888000,0,3784310400.0,4.499359291947831,0.11130032208662868,0.8391641238579768,0.3254079321632657,7.094432920137592,False,False,1,1.0,1.0,4.943617068293397,2020-03-23,2020-03-23
2020-03-30,6.359066374433606,6.858110320495774,5.93647398835557,6.073935031890869,3548100000,0,3553968000.0,4.499359291947831,0.4585240087466792,0.14914889809838666,0.1552497886443618,7.094432920137592,False,False,0,,,,,
2020-04-06,6.356079847282345,6.929082636686835,6.298555158470022,6.548075675964356,2580412000,0,3430713600.0,4.499359291947831,0.09123264363319249,0.3957329786867768,0.10010668514489392,6.929082636686835,False,False,0,,,,,
2020-04-13,6.488311394390533,7.445805794447285,6.399908111031606,7.279458045959473,2580244000,0,3317532800.0,4.499359291947831,0.08452383505210269,0.8409521772861106,0.16342385939095397,7.445805794447285,False,True,0,,,,,
2020-04-20,7.152955099952114,7.308843758155547,6.651670181611287,7.211474895477295,2444392000,0,3005407200.0,4.499359291947831,0.7627892165324704,0.851836916447399,0.09879828050738815,7.445805794447285,False,True,1,5.0,1.0,6.651670181611287,2020-04-20,2020-04-20
2020-04-27,7.345949140962652,7.57529872664852,6.993579026001482,7.041889667510986,2019464000,0,2634522400.0,4.499359291947831,0.6057386641083249,0.08304797202625404,0.08317911306944248,7.57529872664852,False,True,0,,,,,
2020-05-04,6.994575294874223,7.788213639441063,6.994575294874223,7.781988143920898,1722864000,0,2269475200.0,4.499359291947831,0.0,0.9921557513508024,0.11346483681932343,7.788213639441063,True,True,0,,,,,
2020-05-11,7.77700949132875,8.467300485063323,7.56508934146451,8.457589149475098,3177944000,0,2388981600.0,4.499359291947831,0.23488974962559817,0.9892360711277366,0.11925981343465472,8.467300485063323,True,True,0,,,,,
2020-05-18,8.726285957195563,9.05748714261694,8.646598471953777,8.990997314453125,3879148000,0,2648762400.0,4.499359291947831,0.19393935812158847,0.8381804275725513,0.047520267299147496,9.05748714261694,True,True,0,,,,,
2020-05-25,9.120991090890447,9.145894031692048,7.965517427372133,8.840837478637695,3426824000,0,2845248800.0,4.943617068293397,0.9789025454339196,0.7415599795188467,0.14818580399002926,9.145894031692048,False,True,0,,,,,
2020-06-01,8.79875319671636,8.965955164705736,8.62418643742466,8.88922119140625,2052664000,0,2851888800.0,5.93647398835557,0.510774523373401,0.7754798261227136,0.03962909773823322,9.145894031692048,False,False,1,6.0,1.0,8.639980062047034,2020-06-01,2020-06-08
2020-06-08,8.846612491618359,9.467214393281685,8.65577368666941,8.901674270629883,2642964000,0,3035908800.0,6.298555158470022,0.23518515050903338,0.3030419618508594,0.09374560101637294,9.467214393281685,False,True,1,6.0,1.0,8.639980062047034,2020-06-01,2020-06-08
2020-06-15,8.784831221668995,9.412407032556365,8.713577174373565,9.229290962219238,2122592000,0,2824838400.0,6.399908111031606,0.10196193874536623,0.7379675912084532,0.0802001111733815,9.467214393281685,False,True,0,,,,,
2020-06-22,9.267907600251794,9.60922473407461,9.093509253870405,9.123405456542969,2191104000,0,2487229600.0,6.651670181611287,0.33816775477471794,0.05797034171391518,0.05671248202975025,9.60922473407461,False,True,0,,,,,
2020-06-29,9.138105831903935,9.703898234807523,8.869286133575109,9.57908058166504,1400844000,0,2082033600.0,6.993579026001482,0.32208938452939934,0.8504483054959051,0.09410138409886774,9.703898234807523,True,True,1,7.0,1.0,8.869286133575109,2020-06-29,2020-06-29
2020-07-06,9.708133497305749,10.618479869923425,9.678984287054332,10.443087577819824,2031396000,0,2077780000.0,6.994575294874223,0.031026447331846306,0.8133122751026798,0.09706551378832229,10.618479869923425,True,True,0,,,,,
2020-07-13,10.558437354482594,10.755006067364793,9.751730337959057,10.166295051574709,2014984000,0,1952184000.0,7.56508934146451,0.8040730898546663,0.4132111453029942,0.10288181630674893,10.755006067364793,False,True,0,,,,,
2020-07-20,10.23879412998473,10.565907862651448,9.743261080131964,10.159319877624512,1814132000,0,1890492000.0,7.965517427372133,0.6023642950778385,0.5057563049265769,0.08443238620717634,10.755006067364793,False,False,0,,,,,
2020-07-27,10.19694116528819,10.72934616378924,10.17401658584641,10.578119277954102,1543236000,0,1760918400.0,7.965517427372133,0.041281034382178394,0.7276808357245699,0.054583120953507584,10.755006067364793,True,True,0,,,,,
2020-08-03,10.695461367823762,11.465049231458748,10.678270838116555,11.160852432250977,1559812000,0,1792712000.0,8.62418643742466,0.021849265092720112,0.6133640649066079,0.07368031820845677,11.465049231458748,False,True,0,,,,,
2020-08-10,11.295136986086272,11.681297569830996,10.758496568286931,11.524093627929688,1987616000,0,1783956000.0,8.65577368666941,0.5815342813021223,0.8296448069866489,0.08577415957713384,11.681297569830996,True,True,0,,,,,
2020-08-17,11.810351132151723,12.76454905109329,11.776469020888552,12.639731407165527,3668628000,0,2114684800.0,8.713577174373565,0.03429085721109028,0.8736765838941445,0.08390291082736473,12.76454905109329,True,True,0,,,,,
2020-08-24,12.839290026426893,13.10262689195199,12.464338144000836,13.102377891540527,1955648000,0,2142988000.0,8.869286133575109,0.5874330121628861,0.9996098922127765,0.05120919703282903,13.10262689195199,True,True,0,,,,,
2020-08-31,13.13725461731576,14.680319697982243,11.667848528156505,12.5827054977417,4294980000,0,2693336800.0,8.869286133575109,0.48777432407974913,0.3036898671247453,0.25818565970392465,14.680319697982243,False,True,0,,,,,
2020-09-07,11.69750413983094,13.024058312072276,11.667349913206706,12.126150131225586,2867540000,0,2954882400.0,9.678984287054332,0.022226018964149902,0.33817157619451615,0.11628248135539145,14.680319697982243,False,False,0,,,,,
2020-09-14,13.039761475956796,13.27302302777024,11.950952377889005,12.150819778442385,3976656000,0,3352690400.0,9.743261080131964,0.8235634739656602,0.15117754896090996,0.11062471073155918,14.680319697982243,False,True,1,9.0,1.0,11.908960123975959,2020-09-14,2020-09-21
2020-09-21,11.887403420828344,12.84288002490896,11.866967870062911,12.833160400390623,3333764000,0,3285717600.0,9.743261080131964,0.02093994899337651,0.9900404708967787,0.08223770094008324,14.680319697982243,False,False,1,9.0,1.0,11.908960123975959,2020-09-14,2020-09-21
2020-09-28,12.999138493220276,13.71935930583392,12.70980372453174,13.021068572998049,2961952000,0,3486978400.0,10.17401658584641,0.28659617534751197,0.3083186839069356,0.07943124875124251,14.680319697982243,False,True,0,,,,,
2020-10-05,13.194270921546652,14.097411520223703,13.181062344978049,13.719359397888184,2408116000,0,3109605600.0,10.678270838116555,0.014414348712266687,0.5874366091707256,0.06952013056256132,14.097411520223703,False,True,0,,,,,
2020-10-12,13.945392496427578,14.303262307853934,13.724342005426598,13.767952919006348,1565064000,0,2849110400.0,10.758496568286931,0.381832334593056,0.07533146328011558,0.04218200786283596,14.303262307853934,False,True,0,,,,,
2020-10-19,13.859166394923228,13.93941224406965,13.190031344799218,13.54740047454834,1270840000,0,2307947200.0,11.667349913206706,0.8929171398450861,0.47688582618019276,0.05681418638243773,14.303262307853934,False,False,0,,,,,
2020-10-26,13.384668685989434,13.6495807863933,12.261221483654902,12.494483947753906,1700836000,0,1981361600.0,11.667349913206706,0.8091905310890748,0.16801303774239487,0.11323172854156083,14.303262307853934,False,False,0,,,,,
2020-11-02,12.617844058143817,14.542756625411448,12.355922756739838,14.516091346740724,1685156000,0,1726002400.0,11.667349913206706,0.11977192462421037,0.9878064447233352,0.17698668982871077,14.542756625411448,True,True,0,,,,,
2020-11-09,14.5066202611926,14.645181976540904,12.588432934772133,13.255077362060549,2343912000,0,1713161600.0,11.667349913206706,0.9326307130977077,0.3241253130187371,0.1633840409098241,14.645181976540904,False,True,0,,,,,
2020-11-16,13.130967305619023,13.60646357995193,13.023807729860316,13.046486854553224,2143752000,0,1828899200.0,11.866967870062911,0.18391572925585942,0.03892370539216057,0.04473774967600242,14.645181976540904,False,False,1,10.0,1.0,12.866578196500898,2020-11-16,2021-02-01
2020-11-23,13.129724206448,13.365229132389386,12.844377993357543,13.219439506530762,1135048000,0,1801740800.0,11.866967870062911,0.5478459989028944,0.7200934861163762,0.04055090400334287,14.645181976540904,False,False,1,10.0,1.0,12.866578196500898,2020-11-16,2021-02-01
2020-11-30,13.223179104994932,13.630390679939252,12.931351715293896,13.519495964050291,1269024000,0,1715378400.0,12.261221483654902,0.41746941736161924,0.8413611796495748,0.05405768708344272,14.645181976540904,False,False,1,10.0,1.0,12.866578196500898,2020-11-16,2021-02-01
2020-12-07,13.562376482431878,13.692005048509737,12.786348532943183,12.976055145263672,1313492000,0,1641045600.0,12.261221483654902,0.8568678470185416,0.20946861072637998,0.0708299568999202,14.645181976540904,False,False,0,,,,,
2020-12-14,13.050591101752886,13.4255188210078,13.033142001811628,13.234066009521484,1259736000,0,1424210400.0,12.261221483654902,0.04447026185831806,0.5120690045079687,0.030106080261499923,13.692005048509737,False,False,0,,,,,
2020-12-21,13.037377156557108,13.331783154794788,12.901764729583272,12.9566068649292,764940000,0,1148448000.0,12.261221483654902,0.3153642232696588,0.12753438458228206,0.0333302020453194,13.692005048509737,False,False,0,,,,,
2020-12-28,13.025165548440372,13.175980752150302,12.726771196734273,13.017685890197754,800756000,0,1081589600.0,12.261221483654902,0.6642653688999997,0.6476146584781346,0.03529642738419007,13.692005048509737,False,False,1,10.0,1.0,12.866578196500898,2020-11-16,2021-02-01
2021-01-04,13.066793177906842,13.613476275130822,12.550025385480216,13.238801956176758,2217832000,0,1271351200.0,12.355922756739838,0.4859347967732423,0.6476806562032751,0.08473695127312096,13.692005048509737,False,False,0,,,,,
2021-01-11,13.380395567585644,13.921096308910435,12.811776129686692,12.822744369506836,1580748000,0,1324802400.0,12.550025385480216,0.5125836958850467,0.009887352646854438,0.08658597901712523,13.921096308910435,False,True,0,,,,,
2021-01-18,12.979047751298369,13.959237226928826,12.807290266575198,13.673306465148926,1069360000,0,1286727200.0,12.550025385480216,0.1491019035471414,0.7517847849141345,0.08994462812091213,13.959237226928826,False,True,1,10.0,1.0,12.866578196500898,2020-11-16,2021-02-01
2021-01-25,13.742357125035246,13.78897356721507,12.757181781831775,12.952622413635254,1286232000,0,1390985600.0,12.550025385480216,0.9548199125104234,0.18941867378936017,0.0808792884625857,13.959237226928826,False,False,0,,,,,
2021-02-01,13.015940401973044,13.891928064775945,12.865870277184175,13.552152633666992,1053544000,0,1441543200.0,12.550025385480216,0.14625894024432562,0.6688535130411288,0.0797503600927478,13.959237226928826,False,False,1,10.0,1.0,12.866578196500898,2020-11-16,2021-02-01
2021-02-08,13.68801533625432,15.247544255487185,13.68801533625432,14.918487548828123,2033120000,0,1404600800.0,12.550025385480216,0.0,0.7890024972349164,0.11393389624486572,15.247544255487185,False,True,0,,,,,
2021-02-15,15.021191826127696,15.328561180758324,14.533337895222877,14.883835792541504,1102308000,0,1308912800.0,12.550025385480216,0.6134804389723726,0.4407540665033122,0.05471718136699493,15.328561180758324,False,True,0,,,,,
2021-02-22,14.732520326745572,15.089996135515662,13.17847394109998,13.675300598144531,2491352000,0,1593311200.0,12.550025385480216,0.8129889306922994,0.25991152927026845,0.14504882756637918,15.328561180758324,False,False,0,,,,,
2021-03-01,13.835339872663372,13.885197143475253,11.645866892554002,12.425881385803224,2111076000,0,1758280000.0,11.645866892554002,0.977735632442287,0.34832490320710974,0.19228540660727644,15.328561180758324,False,False,0,,,,,
2021-03-08,12.414417712505823,13.013449604669338,11.53344265641587,12.82367706298828,1993192000,0,1946209600.0,11.53344265641587,0.595250621312506,0.8717759110679972,0.12832308550143445,15.328561180758324,False,False,1,8.0,1.0,11.53344265641587,2021-03-08,2021-03-08
2021-03-15,12.832406735192682,13.478526797408929,12.580792308071988,12.81345558166504,1331084000,0,1805802400.0,11.53344265641587,0.2802771084647284,0.2591671324844931,0.07135754786203614,15.328561180758324,False,False,0,,,,,
2021-03-22,12.88028622419768,13.360824589518188,12.241146098262076,12.80696964263916,1424804000,0,1870301600.0,11.53344265641587,0.5708246879403391,0.5053446576766601,0.0914684362213117,15.089996135515662,False,False,0,,,,,
2021-03-29,12.788017694881296,13.835130162239196,12.668070270981811,13.777027130126951,1096776000,0,1591386400.0,11.53344265641587,0.10277743644113758,0.9502141805251667,0.0921260986243967,13.885197143475253,True,False,0,,,,,
2021-04-05,13.832636208536442,14.435118400784658,13.677025725875524,14.363797187805176,1138288000,0,1396828800.0,11.53344265641587,0.20526577766274345,0.9059201912299825,0.055428182270614065,14.435118400784658,True,True,0,,,,,
2021-04-12,14.253823650541044,16.173487680774556,14.103701731984684,15.872493743896484,2864724000,0,1571135200.0,11.53344265641587,0.07253016601624956,0.8545772629731933,0.14675480153903228,16.173487680774556,True,True,0,,,,,
2021-04-19,15.497439688816309,15.767758276852438,14.74633498927641,15.226873397827148,1460616000,0,1597041600.0,11.53344265641587,0.7353510615437582,0.4704596164247047,0.0692662473929655,16.173487680774556,False,True,0,,,,,
2021-04-26,15.146824267123838,15.631100414921413,14.959295227808386,14.971763610839844,946892000,0,1501459200.0,11.53344265641587,0.27914199329449274,0.018559521796011568,0.044908879518553387,16.173487680774556,False,False,1,14.0,1.0,14.959295227808386,2021-04-26,2021-04-26
2021-05-03,15.08697327520045,15.208417054015928,13.97502517344769,14.77501106262207,1323968000,0,1546897600.0,11.53344265641587,0.9015367446224267,0.6486064170920361,0.08825686288017603,16.173487680774556,False,False,0,,,,,
2021-05-10,14.750071681096928,14.76877473037972,13.425162054864115,14.207191467285156,1401916000,0,1599623200.0,11.53344265641587,0.9860800284116891,0.582034857284229,0.10008167275185435,16.173487680774556,False,False,0,,,,,
2021-05-17,14.121405991656692,15.183731096129875,13.509201440576488,14.954059600830078,1741820000,0,1375042400.0,12.241146098262076,0.3655979150230628,0.8628441751383965,0.12395474764331992,15.767758276852438,False,False,0,,,,,
2021-05-24,15.174252706728868,16.236577036281336,15.137844497008365,16.203659057617188,2586676000,0,1600254400.0,12.241146098262076,0.03313655360699386,0.9700400429972065,0.07258183550620617,16.236577036281336,True,True,0,,,,,
