Ticker,Structure,Alert_Date,Buy_Date,Buy_Price,Stop_Loss,Outcome,Score,Action,Vol_Ratio,Dist_Pct
2382,S4;L4;R4,2026-01-22,2026-01-23,283.0,259.825,Active,80.0,BUY OPEN,0.943217055210691,0.03473491773308958
2382,S3;L3;R3,2025-12-19,2025-12-20,265.0,257.76,Active,90.0,BUY OPEN,0.8278594045302511,0.019230769230769232
2382,S1;L1;R1,2025-12-15,2025-12-16,285.0,266.47499999999997,Active,90.0,BUY OPEN,0.8253798663971521,0.016042780748663103
2382,S1;L1;R1,2025-12-17,,,266.47499999999997,Stopped Out,,,,
2382,S1;L1;R1,2025-12-19,2025-12-20,265.0,257.76,Active,90.0,BUY OPEN,0.8278594045302511,0.019230769230769232
2382,S2;L2;R2,2025-10-16,2025-10-17,291.5,267.425,Active,90.0,BUY OPEN,0.6054842022509578,0.035523978685612786
2382,S2;L2;R2,2025-11-19,,,267.425,Stopped Out,,,,
2382,S2;L2;R2,2025-11-21,2025-11-22,270.0,257.76,Active,90.0,BUY OPEN,0.9694008593423302,0.013133208255159476
